block_id,tier,split,n_tiles,n_boulders,n_deposits,n_negative,density,pca_lo,pca_hi,span_m,tiles
22,medium_low,train,3,5,8,1,1.67,-348.826,-332.517,16.309,25_08_24;24_11_29;25_09_24
23,medium_low,train,3,4,12,1,1.33,-303.203,-283.883,19.320,24_10_28;24_11_28;25_08_23
24,high,train,3,9,7,2,3.00,-273.293,-228.697,44.596,24_12_28;25_09_23;24_11_27
25,high,train,3,6,7,2,2.00,-218.939,-202.630,16.309,25_08_22;24_12_27;25_09_22
26,high,train,3,6,8,1,2.00,-169.146,-153.995,15.151,24_11_26;24_12_26;25_08_21
27,medium_low,train,3,3,8,1,1.00,-137.686,-109.595,28.091,25_09_21;25_10_21;24_11_25
28,medium_low,train,3,2,12,2,0.67,-94.640,-72.742,21.898,24_12_25;25_08_20;25_09_20
29,medium_low,train,3,5,8,2,1.67,-56.434,-35.089,21.344,25_10_20;24_11_24;24_12_24
30,medium_low,train,3,4,19,1,1.33,-7.799,24.462,32.260,25_09_19;25_10_19;24_12_23
31,medium_low,train,3,2,18,2,0.67,39.416,73.454,34.038,24_13_23;25_09_18;25_10_18
32,negative,train,3,0,4,3,0.00,89.763,113.922,24.159,25_11_18;24_13_22;24_14_22
33,high,train,3,8,13,0,2.67,138.398,158.518,20.121,25_10_17;25_11_17;24_13_21
34,medium_low,train,3,4,6,2,1.33,171.015,203.341,32.326,25_12_17;24_14_21;25_10_16
35,high,train,3,13,15,1,4.33,219.650,235.959,16.309,25_11_16;24_14_20;25_12_16
36,high,train,3,8,13,1,2.67,247.978,292.575,44.596,24_15_20;25_11_15;24_14_19
37,high,train,3,18,4,1,6.00,300.903,349.538,48.635,25_12_15;24_15_19;25_11_14
38,high,train,3,14,6,0,4.67,352.126,367.080,14.955,24_14_18;25_12_14;24_15_18
39,high,train,3,61,11,0,20.33,411.677,426.631,14.955,24_14_17;25_11_13;24_15_17
40,medium_low,train,3,3,1,2,1.00,430.790,447.099,16.309,25_12_13;24_16_17;25_13_13
41,high,train,3,22,9,0,7.33,471.228,486.182,14.955,24_14_16;25_11_12;24_15_16
42,medium_low,train,3,4,0,2,1.33,495.734,512.043,16.309,25_12_12;24_16_16;25_13_12
43,medium_low,train,3,5,14,0,1.67,530.779,545.733,14.955,24_14_15;25_11_11;24_15_15
44,medium_low,train,3,5,0,1,1.67,560.678,576.987,16.309,25_12_11;24_16_15;25_13_11
45,high,test,3,13,7,1,4.33,590.330,609.313,18.983,24_14_14;24_15_14;25_11_10
46,medium_low,test,3,1,1,2,0.33,620.239,634.926,14.687,24_16_14;25_12_10;24_13_13
47,high,test,3,16,8,1,5.33,641.930,657.947,16.017,25_13_10;24_14_13;25_10_09
48,high,test,3,7,6,2,2.33,664.835,679.790,14.955,24_15_13;25_11_09;24_16_13
49,medium_low,test,3,4,2,2,1.33,690.565,706.874,16.309,25_12_09;24_13_12;25_13_09
50,high,test,3,16,15,1,5.33,709.432,724.386,14.955,24_14_12;25_10_08;24_15_12
51,high,test,3,12,8,1,4.00,739.200,754.028,14.828,25_11_08;24_16_12;24_13_11
52,medium_low,test,3,1,4,2,0.33,755.509,771.818,16.309,25_12_08;24_14_11;25_13_08
53,high,test,3,6,6,2,2.00,783.937,798.892,14.955,24_15_11;25_10_07;24_16_11
54,high,test,3,6,2,1,2.00,804.144,820.453,16.309,25_11_07;24_13_10;25_12_07
55,negative,valid,3,0,0,3,0.00,828.533,843.488,14.955,24_14_10;25_13_07;24_15_10
56,high,valid,3,8,12,1,2.67,852.779,858.443,5.664,25_10_06;24_12_09;24_16_10
57,high,valid,3,10,1,2,3.33,869.088,885.396,16.309,25_11_06;24_13_09;25_12_06
58,negative,valid,3,0,0,3,0.00,888.084,903.039,14.955,24_14_09;25_13_06;24_15_09
59,high,valid,3,32,12,1,10.67,917.722,917.994,0.271,25_10_05;24_12_08;24_16_09
60,high,valid,3,10,1,2,3.33,932.681,947.368,14.687,24_13_08;25_11_05;24_10_07
61,medium_low,valid,3,5,2,2,1.67,947.635,962.322,14.687,24_14_08;25_12_05;24_11_07
62,high,valid,3,30,2,2,10.00,962.590,977.277,14.687,24_15_08;25_13_05;24_12_07
63,medium_low,train,3,5,0,2,1.67,977.545,1006.919,29.374,24_16_08;24_13_07;24_10_06
64,high,train,3,21,3,2,7.00,1007.186,1022.141,14.955,24_14_07;24_11_06;24_15_07
65,negative,train,3,0,0,3,0.00,1037.096,1081.424,44.329,24_16_07;24_10_05;24_11_05
