year_key,year,tile,pca_score,n_boulders,n_boulders_all,n_deposits,is_negative,block_id,block_tier,split,xmin,ymin,xmax,ymax
25_09_22,25,9_22,-202.630,0,0,0,1,25,high,train,459945.294867,5879914.338776001,460012.255067,5879981.298976
24_11_26,24,11_26,-169.146,3,10,4,0,26,high,train,459900.935467,5879967.356815999,459962.335467,5880028.756816
24_12_26,24,12_26,-154.191,0,0,0,1,26,high,train,459900.935467,5879905.956816,459962.335467,5879967.356816
25_08_21,25,8_21,-153.995,3,13,4,0,26,high,train,459878.33466700005,5879981.298976,459945.294867,5880048.259176
25_09_21,25,9_21,-137.686,1,1,0,0,27,medium_low,train,459878.33466700005,5879914.338776001,459945.294867,5879981.298976
25_10_21,25,10_21,-121.377,0,0,0,1,27,medium_low,train,459878.33466700005,5879847.378576,459945.294867,5879914.338776
24_11_25,24,11_25,-109.595,2,10,8,0,27,medium_low,train,459839.535467,5879967.356815999,459900.935467,5880028.756816
24_12_25,24,12_25,-94.640,0,0,0,1,28,medium_low,train,459839.535467,5879905.956816,459900.935467,5879967.356816
25_08_20,25,8_20,-89.051,0,0,5,1,28,medium_low,train,459811.374467,5879981.298976,459878.334667,5880048.259176
25_09_20,25,9_20,-72.742,2,9,7,0,28,medium_low,train,459811.374467,5879914.338776001,459878.334667,5879981.298976
25_10_20,25,10_20,-56.434,0,0,0,1,29,medium_low,train,459811.374467,5879847.378576,459878.334667,5879914.338776
24_11_24,24,11_24,-50.044,0,1,3,1,29,medium_low,train,459778.135467,5879967.356815999,459839.53546700004,5880028.756816
24_12_24,24,12_24,-35.089,5,15,5,0,29,medium_low,train,459778.135467,5879905.956816,459839.53546700004,5879967.356816
25_09_19,25,9_19,-7.799,2,17,11,0,30,medium_low,train,459744.41426700004,5879914.338776001,459811.374467,5879981.298976
25_10_19,25,10_19,8.510,0,0,0,1,30,medium_low,train,459744.41426700004,5879847.378576,459811.374467,5879914.338776
24_12_23,24,12_23,24.462,2,9,8,0,30,medium_low,train,459716.735467,5879905.956816,459778.135467,5879967.356816
24_13_23,24,13_23,39.416,0,0,1,1,31,medium_low,train,459716.735467,5879844.556816,459778.135467,5879905.956816
25_09_18,25,9_18,57.145,0,3,3,1,31,medium_low,train,459677.454067,5879914.338776001,459744.414267,5879981.298976
25_10_18,25,10_18,73.454,2,17,14,0,31,medium_low,train,459677.454067,5879847.378576,459744.414267,5879914.338776
25_11_18,25,11_18,89.763,0,0,0,1,32,negative,train,459677.454067,5879780.418376001,459744.414267,5879847.378576
24_13_22,24,13_22,98.967,0,0,4,1,32,negative,train,459655.335467,5879844.556816,459716.73546700005,5879905.956816
24_14_22,24,14_22,113.922,0,0,0,1,32,negative,train,459655.335467,5879783.156815999,459716.73546700005,5879844.556816
25_10_17,25,10_17,138.398,4,35,7,0,33,high,train,459610.49386700004,5879847.378576,459677.454067,5879914.338776
25_11_17,25,11_17,154.707,1,13,2,0,33,high,train,459610.49386700004,5879780.418376001,459677.454067,5879847.378576
24_13_21,24,13_21,158.518,3,3,4,0,33,high,train,459593.935467,5879844.556816,459655.335467,5879905.956816
25_12_17,25,12_17,171.015,0,0,0,1,34,medium_low,train,459610.49386700004,5879713.458176001,459677.454067,5879780.418376001
24_14_21,24,14_21,173.473,4,7,5,0,34,medium_low,train,459593.935467,5879783.156815999,459655.335467,5879844.556816
25_10_16,25,10_16,203.341,0,0,1,1,34,medium_low,train,459543.533667,5879847.378576,459610.493867,5879914.338776
25_11_16,25,11_16,219.650,8,34,5,0,35,high,train,459543.533667,5879780.418376001,459610.493867,5879847.378576
24_14_20,24,14_20,233.024,5,22,10,0,35,high,train,459532.535467,5879783.156815999,459593.935467,5879844.556816
25_12_16,25,12_16,235.959,0,0,0,1,35,high,train,459543.533667,5879713.458176001,459610.493867,5879780.418376001
24_15_20,24,15_20,247.978,0,0,0,1,36,high,train,459532.535467,5879721.756816,459593.935467,5879783.156816
25_11_15,25,11_15,284.594,4,19,6,0,36,high,train,459476.57346700004,5879780.418376001,459543.533667,5879847.378576
24_14_19,24,14_19,292.575,4,7,7,0,36,high,train,459471.135467,5879783.156815999,459532.53546700004,5879844.556816
25_12_15,25,12_15,300.903,8,15,0,0,37,high,train,459476.57346700004,5879713.458176001,459543.533667,5879780.418376001
24_15_19,24,15_19,307.529,0,0,0,1,37,high,train,459471.135467,5879721.756816,459532.53546700004,5879783.156816
25_11_14,25,11_14,349.538,10,24,4,0,37,high,train,459409.613267,5879780.418376001,459476.573467,5879847.378576
24_14_18,24,14_18,352.126,6,10,3,0,38,high,train,459409.735467,5879783.156815999,459471.135467,5879844.556816
25_12_14,25,12_14,365.847,2,4,1,0,38,high,train,459409.613267,5879713.458176001,459476.573467,5879780.418376001
24_15_18,24,15_18,367.080,6,6,2,0,38,high,train,459409.735467,5879721.756816,459471.135467,5879783.156816
24_14_17,24,14_17,411.677,26,40,5,0,39,high,train,459348.335467,5879783.156815999,459409.73546700005,5879844.556816
25_11_13,25,11_13,414.481,30,59,5,0,39,high,train,459342.65306700004,5879780.418376001,459409.613267,5879847.378576
24_15_17,24,15_17,426.631,5,9,1,0,39,high,train,459348.335467,5879721.756816,459409.73546700005,5879783.156816
25_12_13,25,12_13,430.790,3,5,1,0,40,medium_low,train,459342.65306700004,5879713.458176001,459409.613267,5879780.418376001
24_16_17,24,16_17,441.586,0,0,0,1,40,medium_low,train,459348.335467,5879660.356815999,459409.73546700005,5879721.756816
25_13_13,25,13_13,447.099,0,0,0,1,40,medium_low,train,459342.65306700004,5879646.497976,459409.613267,5879713.458176
24_14_16,24,14_16,471.228,12,36,1,0,41,high,train,459286.935467,5879783.156815999,459348.335467,5879844.556816
25_11_12,25,11_12,479.425,5,18,8,0,41,high,train,459275.692867,5879780.418376001,459342.653067,5879847.378576
24_15_16,24,15_16,486.182,5,7,0,0,41,high,train,459286.935467,5879721.756816,459348.335467,5879783.156816
25_12_12,25,12_12,495.734,4,10,0,0,42,medium_low,train,459275.692867,5879713.458176001,459342.653067,5879780.418376001
24_16_16,24,16_16,501.137,0,0,0,1,42,medium_low,train,459286.935467,5879660.356815999,459348.335467,5879721.756816
25_13_12,25,13_12,512.043,0,0,0,1,42,medium_low,train,459275.692867,5879646.497976,459342.653067,5879713.458176
24_14_15,24,14_15,530.779,1,10,5,0,43,medium_low,excluded,459225.535467,5879783.156815999,459286.935467,5879844.556816
25_11_11,25,11_11,544.369,2,13,9,0,43,medium_low,excluded,459208.73266700003,5879780.418376001,459275.692867,5879847.378576
24_15_15,24,15_15,545.733,2,5,0,0,43,medium_low,excluded,459225.535467,5879721.756816,459286.935467,5879783.156816
25_12_11,25,12_11,560.678,2,2,0,0,44,medium_low,excluded,459208.73266700003,5879713.458176001,459275.692867,5879780.418376001
24_16_15,24,16_15,560.688,3,9,0,0,44,medium_low,excluded,459225.535467,5879660.356815999,459286.935467,5879721.756816
25_13_11,25,13_11,576.987,0,0,0,1,44,medium_low,excluded,459208.73266700003,5879646.497976,459275.692867,5879713.458176
24_14_14,24,14_14,590.330,3,26,4,0,45,high,test,459164.135467,5879783.156815999,459225.53546700004,5879844.556816
24_15_14,24,15_14,605.284,0,1,0,1,45,high,test,459164.135467,5879721.756816,459225.53546700004,5879783.156816
25_11_10,25,11_10,609.313,10,21,3,0,45,high,test,459141.772467,5879780.418376001,459208.732667,5879847.378576
24_16_14,24,16_14,620.239,1,1,0,0,46,medium_low,test,459164.135467,5879660.356815999,459225.53546700004,5879721.756816
25_12_10,25,12_10,625.622,0,0,0,1,46,medium_low,test,459141.772467,5879713.458176001,459208.732667,5879780.418376001
24_13_13,24,13_13,634.926,0,0,1,1,46,medium_low,test,459102.735467,5879844.556816,459164.135467,5879905.956816
25_13_10,25,13_10,641.930,0,0,0,1,47,high,test,459141.772467,5879646.497976,459208.732667,5879713.458176
24_14_13,24,14_13,649.881,15,60,2,0,47,high,test,459102.735467,5879783.156815999,459164.135467,5879844.556816
25_10_09,25,10_9,657.947,1,5,6,0,47,high,test,459074.81226700003,5879847.378576,459141.772467,5879914.338776
24_15_13,24,15_13,664.835,0,1,0,1,48,high,test,459102.735467,5879721.756816,459164.135467,5879783.156816
25_11_09,25,11_9,674.256,7,19,6,0,48,high,test,459074.81226700003,5879780.418376001,459141.772467,5879847.378576
24_16_13,24,16_13,679.790,0,0,0,1,48,high,test,459102.735467,5879660.356815999,459164.135467,5879721.756816
25_12_09,25,12_9,690.565,0,0,0,1,49,medium_low,test,459074.81226700003,5879713.458176001,459141.772467,5879780.418376001
24_13_12,24,13_12,694.477,4,19,2,0,49,medium_low,test,459041.335467,5879844.556816,459102.73546700005,5879905.956816
25_13_09,25,13_9,706.874,0,0,0,1,49,medium_low,test,459074.81226700003,5879646.497976,459141.772467,5879713.458176
24_14_12,24,14_12,709.432,10,55,3,0,50,high,test,459041.335467,5879783.156815999,459102.73546700005,5879844.556816
25_10_08,25,10_8,722.891,6,18,12,0,50,high,test,459007.852067,5879847.378576,459074.812267,5879914.338776
24_15_12,24,15_12,724.386,0,0,0,1,50,high,test,459041.335467,5879721.756816,459102.73546700005,5879783.156816
25_11_08,25,11_8,739.200,9,22,7,0,51,high,test,459007.852067,5879780.418376001,459074.812267,5879847.378576
24_16_12,24,16_12,739.341,0,0,0,1,51,high,test,459041.335467,5879660.356815999,459102.73546700005,5879721.756816
24_13_11,24,13_11,754.028,3,21,1,0,51,high,test,458979.935467,5879844.556816,459041.335467,5879905.956816
25_12_08,25,12_8,755.509,0,0,0,1,52,medium_low,test,459007.852067,5879713.458176001,459074.812267,5879780.418376001
24_14_11,24,14_11,768.982,1,7,4,0,52,medium_low,test,458979.935467,5879783.156815999,459041.335467,5879844.556816
25_13_08,25,13_8,771.818,0,0,0,1,52,medium_low,test,459007.852067,5879646.497976,459074.812267,5879713.458176
24_15_11,24,15_11,783.937,0,0,0,1,53,high,test,458979.935467,5879721.756816,459041.335467,5879783.156816
25_10_07,25,10_7,787.835,6,12,6,0,53,high,test,458940.891867,5879847.378576,459007.852067,5879914.338776
24_16_11,24,16_11,798.892,0,0,0,1,53,high,test,458979.935467,5879660.356815999,459041.335467,5879721.756816
25_11_07,25,11_7,804.144,2,7,1,0,54,high,test,458940.891867,5879780.418376001,459007.852067,5879847.378576
24_13_10,24,13_10,813.579,4,24,1,0,54,high,test,458918.535467,5879844.556816,458979.935467,5879905.956816
25_12_07,25,12_7,820.453,0,0,0,1,54,high,test,458940.891867,5879713.458176001,459007.852067,5879780.418376001
24_14_10,24,14_10,828.533,0,4,0,1,55,negative,valid,458918.535467,5879783.156815999,458979.935467,5879844.556816
25_13_07,25,13_7,836.762,0,0,0,1,55,negative,valid,458940.891867,5879646.497976,459007.852067,5879713.458176
24_15_10,24,15_10,843.488,0,0,0,1,55,negative,valid,458918.535467,5879721.756816,458979.935467,5879783.156816
25_10_06,25,10_6,852.779,7,13,9,0,56,high,valid,458873.931667,5879847.378576,458940.89186699997,5879914.338776
24_12_09,24,12_9,858.175,1,2,3,0,56,high,valid,458857.135467,5879905.956816,458918.53546700004,5879967.356816
24_16_10,24,16_10,858.443,0,0,0,1,56,high,valid,458918.535467,5879660.356815999,458979.935467,5879721.756816
25_11_06,25,11_6,869.088,0,0,0,1,57,high,valid,458873.931667,5879780.418376001,458940.89186699997,5879847.378576
24_13_09,24,13_9,873.130,10,26,1,0,57,high,valid,458857.135467,5879844.556816,458918.53546700004,5879905.956816
25_12_06,25,12_6,885.396,0,0,0,1,57,high,valid,458873.931667,5879713.458176001,458940.89186699997,5879780.418376001
24_14_09,24,14_9,888.084,0,0,0,1,58,negative,valid,458857.135467,5879783.156815999,458918.53546700004,5879844.556816
25_13_06,25,13_6,901.705,0,0,0,1,58,negative,valid,458873.931667,5879646.497976,458940.89186699997,5879713.458176
24_15_09,24,15_9,903.039,0,0,0,1,58,negative,valid,458857.135467,5879721.756816,458918.53546700004,5879783.156816
25_10_05,25,10_5,917.722,17,24,10,0,59,high,valid,458806.971467,5879847.378576,458873.931667,5879914.338776
24_12_08,24,12_8,917.726,15,33,2,0,59,high,valid,458795.735467,5879905.956816,458857.135467,5879967.356816
24_16_09,24,16_9,917.994,0,0,0,1,59,high,valid,458857.135467,5879660.356815999,458918.53546700004,5879721.756816
24_13_08,24,13_8,932.681,10,25,1,0,60,high,valid,458795.735467,5879844.556816,458857.135467,5879905.956816
25_11_05,25,11_5,934.031,0,0,0,1,60,high,valid,458806.971467,5879780.418376001,458873.931667,5879847.378576
24_10_07,24,10_7,947.368,0,1,0,1,60,high,valid,458734.335467,5880028.756816,458795.73546700005,5880090.156816
24_14_08,24,14_8,947.635,0,0,0,1,61,medium_low,valid,458795.735467,5879783.156815999,458857.135467,5879844.556816
25_12_05,25,12_5,950.340,0,0,0,1,61,medium_low,valid,458806.971467,5879713.458176001,458873.931667,5879780.418376001
24_11_07,24,11_7,962.322,5,19,2,0,61,medium_low,valid,458734.335467,5879967.356815999,458795.73546700005,5880028.756816
24_15_08,24,15_8,962.590,0,0,0,1,62,high,valid,458795.735467,5879721.756816,458857.135467,5879783.156816
25_13_05,25,13_5,966.649,0,0,0,1,62,high,valid,458806.971467,5879646.497976,458873.931667,5879713.458176
24_12_07,24,12_7,977.277,30,70,2,0,62,high,valid,458734.335467,5879905.956816,458795.73546700005,5879967.356816
24_16_08,24,16_8,977.545,0,0,0,1,63,medium_low,excluded,458795.735467,5879660.356815999,458857.135467,5879721.756816
24_13_07,24,13_7,992.232,0,0,0,1,63,medium_low,excluded,458734.335467,5879844.556816,458795.73546700005,5879905.956816
24_10_06,24,10_6,1006.919,5,5,0,0,63,medium_low,excluded,458672.935467,5880028.756816,458734.335467,5880090.156816
24_14_07,24,14_7,1007.186,0,0,0,1,64,high,excluded,458734.335467,5879783.156815999,458795.73546700005,5879844.556816
24_11_06,24,11_6,1021.873,21,36,3,0,64,high,excluded,458672.935467,5879967.356815999,458734.335467,5880028.756816
24_15_07,24,15_7,1022.141,0,0,0,1,64,high,excluded,458734.335467,5879721.756816,458795.73546700005,5879783.156816
24_16_07,24,16_7,1037.096,0,0,0,1,65,negative,excluded,458734.335467,5879660.356815999,458795.73546700005,5879721.756816
24_10_05,24,10_5,1066.470,0,0,0,1,65,negative,train,458611.535467,5880028.756816,458672.935467,5880090.156816
24_11_05,24,11_5,1081.424,0,0,0,1,65,negative,train,458611.535467,5879967.356815999,458672.935467,5880028.756816
